posx,posy,ang
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3713739,3710700
1000,3708042,3705000
1000,3702342,3699300
1000,3696645,3693600
1000,3696645,3693600
1000,3702345,3699300
1000,3702345,3699300
1000,3708042,3705000
1000,3708042,3705000
1000,3713739,3710700
1000,3713739,3710700
1000,3719436,3716400
1000,3725136,3722100
1000,3725133,3722100
1000,3725133,3722100
1000,3730830,3727800
1000,3736527,3733500
1000,3742224,3739200
1000,3742224,3739200
1000,3742224,3739200
1000,3747918,3744900
1000,3747918,3744900
1000,3753618,3750600
1000,3759312,3756300
1000,3765009,3762000
1000,3770706,3767700
1000,3770706,3767700
1000,3776400,3773400
1000,3782097,3779100
1000,3782097,3779100
1000,3787791,3784800
1000,3787785,3784800
1000,3787785,3784800
1000,3793479,3790500
1000,3799173,3796200
1000,3799167,3796200
1000,3799167,3796200
1000,3799161,3796200
1000,3799155,3796200
1000,3799149,3796200
1000,3799149,3796200
1000,3799143,3796200
1000,3793437,3790500
1000,3787731,3784800
1000,3787725,3784800
1000,3782022,3779100
1000,3776316,3773400
1000,3776316,3773400
1000,3770610,3767700
1000,3764907,3762000
1000,3759204,3756300
1000,3753501,3750600
1000,3753501,3750600
1000,3747798,3744900
1000,3736395,3733500
1000,3730692,3727800
1000,3730692,3727800
1000,3724992,3722100
1000,3719289,3716400
1000,3713586,3710700
1000,3713586,3710700
1000,3702186,3699300
1000,3696483,3693600
1000,3696483,3693600
1000,3685083,3682200
1000,3673683,3670800
1000,3673683,3670800
1000,3667980,3665100
1000,3650880,3648000
1000,3639480,3636600
1000,3622383,3619500
1000,3622383,3619500
1000,3599583,3596700
1000,3582483,3579600
1000,3582483,3579600
1000,3559683,3556800
1000,3542583,3539700
1000,3519786,3516900
1000,3519786,3516900
1000,3491286,3488400
1000,3468492,3465600
1000,3439998,3437100
1000,3439998,3437100
1000,3411501,3408600
1000,3377304,3374400
1000,3377304,3374400
1000,3348807,3345900
1000,3320313,3317400
1000,3291816,3288900
1000,3291816,3288900
1000,3263319,3260400
1000,3229125,3226200
1000,3229125,3226200
1000,3200628,3197700
1000,3172131,3169200
1000,3143634,3140700
1000,3143634,3140700
1000,3115140,3112200
1000,3086643,3083700
1000,3058146,3055200
1000,3058146,3055200
1000,3029649,3026700
1000,3006849,3003900
1000,2978352,2975400
1000,2978352,2975400
1000,2949858,2946900
1000,2927058,2924100
1000,2898561,2895600
1000,2898561,2895600
1000,2870064,2867100
1000,2841567,2838600
1000,2818767,2815800
1000,2818767,2815800
1000,2790267,2787300
1000,2767467,2764500
1000,2767467,2764500
1000,2738970,2736000
1000,2716173,2713200
1000,2687673,2684700
1000,2664870,2661900
1000,2642067,2639100
1000,2642067,2639100
1000,2624964,2622000
1000,2602158,2599200
1000,2585052,2582100
1000,2585052,2582100
1000,2567943,2565000
1000,2550834,2547900
1000,2539425,2536500
1000,2539425,2536500
1000,2528019,2525100
1000,2522310,2519400
1000,2516604,2513700
1000,2510898,2508000
1000,2510898,2508000
1000,2499489,2496600
1000,2488077,2485200
1000,2476665,2473800
1000,2476665,2473800
1000,2459553,2456700
1000,2448141,2445300
1000,2448141,2445300
1000,2436726,2433900
1000,2419614,2416800
1000,2408202,2405400
1000,2408202,2405400
1000,2391087,2388300
1000,2379675,2376900
1000,2379675,2376900
1000,2368263,2365500
1000,2345448,2342700
1000,2328336,2325600
1000,2328336,2325600
1000,2316921,2314200
1000,2299806,2297100
1000,2299806,2297100
1000,2282691,2280000
1000,2265576,2262900
1000,2265576,2262900
1000,2248461,2245800
1000,2237052,2234400
1000,2231349,2228700
1000,2219946,2217300
1000,2219946,2217300
1000,2214246,2211600
1000,2208543,2205900
1000,2202843,2200200
1000,2197140,2194500
1000,2197140,2194500
1000,2191437,2188800
1000,2180037,2177400
1000,2180037,2177400
1000,2174334,2171700
1000,2162934,2160300
1000,2157231,2154600
1000,2145831,2143200
1000,2145831,2143200
1000,2134428,2131800
1000,2117328,2114700
1000,2117328,2114700
1000,2105928,2103300
1000,2094531,2091900
1000,2094531,2091900
1000,2077434,2074800
1000,2066034,2063400
1000,2054637,2052000
1000,2054637,2052000
1000,2043240,2040600
1000,2031846,2029200
1000,2031846,2029200
1000,2026149,2023500
1000,2026149,2023500
1000,2014752,2012100
1000,2014752,2012100
1000,2003358,2000700
1000,1991964,1989300
1000,1991964,1989300
1000,1974873,1972200
1000,1957779,1955100
1000,1940685,1938000
1000,1940685,1938000
1000,1923594,1920900
1000,1906500,1903800
1000,1889409,1886700
1000,1889409,1886700
1000,1872318,1869600
1000,1855227,1852500
1000,1838136,1835400
1000,1815345,1812600
1000,1815345,1812600
1000,1792554,1789800
1000,1775463,1772700
1000,1775463,1772700
1000,1752672,1749900
1000,1729881,1727100
1000,1701390,1698600
1000,1684302,1681500
1000,1684302,1681500
1000,1661514,1658700
1000,1638723,1635900
1000,1638723,1635900
1000,1615935,1613100
1000,1598847,1596000
1000,1581756,1578900
1000,1581756,1578900
1000,1564665,1561800
1000,1547577,1544700
1000,1536189,1533300
1000,1536189,1533300
1000,1530504,1527600
1000,1519116,1516200
1000,1519116,1516200
1000,1502028,1499100
1000,1496340,1493400
1000,1484952,1482000
1000,1484952,1482000
1000,1473561,1470600
1000,1462173,1459200
1000,1462173,1459200
1000,1456485,1453500
1000,1445094,1442100
1000,1439406,1436400
1000,1439406,1436400
1000,1428018,1425000
1000,1422327,1419300
1000,1422327,1419300
1000,1410936,1407900
1000,1405248,1402200
1000,1393860,1390800
1000,1388169,1385100
1000,1382481,1379400
1000,1376793,1373700
1000,1376793,1373700
1000,1376805,1373700
1000,1371120,1368000
1000,1371120,1368000
1000,1365435,1362300
1000,1365447,1362300
1000,1371162,1368000
1000,1371162,1368000
1000,1371174,1368000
1000,1371174,1368000
1000,1371186,1368000
1000,1371198,1368000
1000,1371210,1368000
1000,1371210,1368000
1000,1376919,1373700
1000,1382631,1379400
1000,1394040,1390800
1000,1394040,1390800
1000,1399749,1396500
1000,1411158,1407900
1000,1411158,1407900
1000,1422564,1419300
1000,1428270,1425000
1000,1428270,1425000
1000,1439673,1436400
1000,1445376,1442100
1000,1456779,1453500
1000,1462479,1459200
1000,1462479,1459200
1000,1468182,1464900
1000,1473882,1470600
1000,1473882,1470600
1000,1479582,1476300
1000,1485285,1482000
1000,1490988,1487700
1000,1490988,1487700
1000,1496688,1493400
1000,1502391,1499100
1000,1508094,1504800
1000,1508094,1504800
1000,1513794,1510500
1000,1530894,1527600
1000,1530894,1527600
1000,1547994,1544700
1000,1570794,1567500
1000,1593597,1590300
1000,1593597,1590300
1000,1616394,1613100
1000,1644894,1641600
1000,1667691,1664400
1000,1667691,1664400
1000,1696194,1692900
1000,1718994,1715700
1000,1747491,1744200
1000,1747491,1744200
1000,1775991,1772700
1000,1804488,1801200
1000,1804488,1801200
1000,1832985,1829700
1000,1861485,1858200
1000,1889985,1886700
1000,1889985,1886700
1000,1918485,1915200
1000,1946988,1943700
1000,1975488,1972200
1000,1975488,1972200
1000,2003988,2000700
1000,2032491,2029200
1000,2060991,2057700
1000,2060991,2057700
1000,2083791,2080500
1000,2112294,2109000
1000,2112294,2109000
1000,2140794,2137500
1000,2163597,2160300
1000,2192097,2188800
1000,2220600,2217300
1000,2220600,2217300
1000,2249103,2245800
1000,2277603,2274300
1000,2306106,2302800
1000,2306106,2302800
1000,2340306,2337000
1000,2368809,2365500
1000,2403012,2399700
1000,2431512,2428200
1000,2431512,2428200
1000,2465712,2462400
1000,2465712,2462400
1000,2494215,2490900
1000,2522715,2519400
1000,2556915,2553600
1000,2591112,2587800
1000,2591112,2587800
1000,2625312,2622000
1000,2653812,2650500
1000,2682315,2679000
1000,2682315,2679000
1000,2716515,2713200
1000,2745015,2741700
1000,2767815,2764500
1000,2767815,2764500
1000,2796318,2793000
1000,2819118,2815800
1000,2841918,2838600
1000,2864721,2861400
1000,2887521,2884200
1000,2887521,2884200
1000,2910321,2907000
1000,2938818,2935500
1000,2938818,2935500
1000,2961621,2958300
1000,2990124,2986800
1000,3018624,3015300
1000,3018624,3015300
1000,3047124,3043800
1000,3075624,3072300
1000,3075624,3072300
1000,3104124,3100800
1000,3138321,3135000
1000,3166824,3163500
1000,3166824,3163500
1000,3201024,3197700
1000,3229521,3226200
1000,3229521,3226200
1000,3263721,3260400
1000,3297921,3294600
1000,3332118,3328800
1000,3332118,3328800
1000,3372018,3368700
1000,3389115,3385800
1000,3383415,3380100
1000,3383415,3380100
1000,3372018,3368700
1000,3360618,3357300
1000,3349218,3345900
1000,3349218,3345900
1000,3337818,3334500
1000,3332118,3328800
1000,3332118,3328800
1000,3320718,3317400
1000,3315021,3311700
1000,3309318,3306000
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315018,3311700
1000,3315018,3311700
1000,3315018,3311700
1000,3315021,3311700
1000,3309318,3306000
1000,3315018,3311700
1000,3315018,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
1000,3315021,3311700
