posx,posy,ang
1248.000000,678.000000,17.730038
1248.000000,678.000000,17.930908
1248.000000,678.000000,21.001945
1248.000000,678.000000,23.206703
1248.000000,678.000000,22.732168
1248.000000,678.000000,20.896299
1248.000000,678.000000,19.870958
1248.000000,678.000000,18.910133
1248.000000,678.000000,18.388382
1248.000000,678.000000,19.593927
1248.000000,678.000000,20.883272
1248.000000,678.000000,22.100481
1248.000000,678.000000,22.767040
1248.000000,678.000000,21.580839
1248.000000,678.000000,19.811831
1248.000000,678.000000,21.368055
1248.000000,678.000000,24.209595
1248.000000,678.000000,26.611876
1248.000000,678.000000,27.754568
1248.000000,678.000000,27.686522
1248.000000,678.000000,26.524239
1248.000000,678.000000,22.703352
1248.000000,678.000000,18.931583
1248.000000,678.000000,16.764591
1248.000000,678.000000,18.108887
1248.000000,678.000000,20.935364
1248.000000,678.000000,21.771912
1248.000000,678.000000,21.100517
1248.000000,678.000000,21.503469
1248.000000,678.000000,20.691854
1248.000000,678.000000,19.512396
1248.000000,678.000000,18.611696
1248.000000,678.000000,18.249660
1248.000000,678.000000,18.770367
1248.000000,678.000000,20.005219
1248.000000,678.000000,21.139746
1248.000000,678.000000,22.159658
1248.000000,678.000000,21.432966
1248.000000,678.000000,19.993238
1248.000000,678.000000,20.411657
1248.000000,678.000000,21.736868
1248.000000,678.000000,21.364573
1248.000000,678.000000,20.995504
1248.000000,678.000000,22.872000
1248.000000,678.000000,25.271488
1248.000000,678.000000,25.301126
1248.000000,678.000000,22.685196
1248.000000,678.000000,19.622431
1248.000000,678.000000,17.579458
1248.000000,678.000000,19.073311
1248.000000,677.000000,19.912260
1248.000000,677.000000,20.019396
1247.000000,676.000000,20.491545
1244.000000,672.000000,21.396757
1242.000000,668.000000,22.593670
1242.000000,668.000000,23.460205
1238.000000,664.000000,24.608089
1233.000000,657.000000,26.275841
1229.000000,650.000000,28.385056
1229.000000,650.000000,29.869827
1224.000000,643.000000,31.206417
1217.000000,636.000000,33.569759
1210.000000,628.000000,38.050514
1210.000000,628.000000,41.891365
1204.000000,621.000000,42.500992
1197.000000,615.000000,40.557049
1189.000000,606.000000,37.939003
1189.000000,606.000000,36.022614
1182.000000,599.000000,35.315506
1173.000000,592.000000,35.607826
1173.000000,592.000000,36.359768
1164.000000,584.000000,37.065025
1154.000000,576.000000,38.702061
1143.000000,566.000000,43.122627
1143.000000,566.000000,47.316200
1131.000000,558.000000,52.550415
1124.000000,554.000000,59.128304
1120.000000,551.000000,69.172096
1120.000000,551.000000,77.036217
1114.000000,551.000000,85.777771
1107.000000,551.000000,98.063316
1107.000000,551.000000,107.277840
1100.000000,551.000000,116.286613
1094.000000,553.000000,127.679291
1088.000000,555.000000,141.131348
1088.000000,555.000000,150.160690
1081.000000,559.000000,156.185394
1075.000000,565.000000,134.959396
1068.000000,571.000000,133.903564
1068.000000,571.000000,145.030197
1062.000000,579.000000,133.525192
1056.000000,588.000000,115.325493
1056.000000,588.000000,100.834244
1049.000000,596.000000,120.466713
1044.000000,605.000000,152.594452
1039.000000,615.000000,178.569931
1039.000000,615.000000,190.109192
1034.000000,625.000000,187.587082
1028.000000,635.000000,177.097885
1022.000000,646.000000,163.846985
1022.000000,646.000000,154.525894
1018.000000,653.000000,149.298126
1015.000000,656.000000,145.294632
1011.000000,657.000000,139.497910
1007.000000,659.000000,130.900818
1007.000000,659.000000,124.266258
1004.000000,660.000000,116.114044
1001.000000,660.000000,104.634659
1001.000000,660.000000,96.015617
997.000000,660.000000,87.230850
994.000000,658.000000,79.931236
991.000000,655.000000,69.860329
991.000000,655.000000,62.384762
988.000000,653.000000,53.693470
986.000000,650.000000,42.911816
985.000000,648.000000,31.657877
985.000000,648.000000,24.831934
983.000000,647.000000,19.257160
980.000000,643.000000,17.994022
975.000000,636.000000,17.679127
975.000000,633.000000,12.615224
971.000000,629.000000,11.917727
967.000000,620.000000,13.635544
963.000000,612.000000,16.041475
963.000000,612.000000,17.842548
959.000000,602.000000,18.538877
956.000000,592.000000,18.719025
956.000000,592.000000,18.523417
953.000000,581.000000,18.190819
949.000000,571.000000,18.335361
944.000000,561.000000,19.115137
944.000000,561.000000,19.938829
940.000000,550.000000,20.025978
936.000000,540.000000,20.065853
931.000000,529.000000,19.643654
931.000000,529.000000,19.128912
925.000000,519.000000,19.193295
920.000000,508.000000,19.149996
920.000000,508.000000,19.062111
914.000000,496.000000,18.149214
909.000000,484.000000,16.719671
903.000000,473.000000,16.840450
903.000000,473.000000,17.813213
899.000000,461.000000,19.293304
894.000000,448.000000,20.450201
894.000000,448.000000,20.935507
889.000000,436.000000,21.662849
884.000000,426.000000,18.884008
879.000000,414.000000,14.389654
873.000000,403.000000,12.864290
873.000000,403.000000,13.704637
868.000000,391.000000,13.481458
864.000000,380.000000,10.643002
862.000000,374.000000,4.543097
862.000000,374.000000,-0.906231
860.000000,371.000000,-3.281739
861.000000,369.000000,-3.293135
863.000000,366.000000,1.923598
863.000000,366.000000,0.322524
865.000000,363.000000,-1.580038
867.000000,361.000000,-11.220851
870.000000,359.000000,-25.098383
870.000000,359.000000,-35.642853
873.000000,357.000000,-45.273262
876.000000,356.000000,-57.033379
876.000000,356.000000,-65.118774
879.000000,355.000000,-73.118851
881.000000,354.000000,-85.248138
884.000000,354.000000,-101.816498
887.000000,354.000000,-120.731377
887.000000,354.000000,-133.107834
890.000000,354.000000,-142.774551
