posx,posy,ang
885.000000,814.000000,168.324829
885.000000,814.000000,168.632217
885.000000,814.000000,168.546951
885.000000,814.000000,168.268753
885.000000,814.000000,168.412399
885.000000,814.000000,168.323669
885.000000,814.000000,168.136765
885.000000,814.000000,168.388702
885.000000,814.000000,168.372925
885.000000,814.000000,168.207901
885.000000,814.000000,168.024948
885.000000,814.000000,167.908035
885.000000,814.000000,167.878403
885.000000,814.000000,167.911972
885.000000,814.000000,167.968292
885.000000,814.000000,168.014328
885.000000,814.000000,168.453033
885.000000,814.000000,168.936981
885.000000,814.000000,169.245026
885.000000,814.000000,169.321945
885.000000,814.000000,169.232178
885.000000,814.000000,168.665024
885.000000,814.000000,168.474854
885.000000,814.000000,168.583603
885.000000,814.000000,168.820923
885.000000,814.000000,169.033905
885.000000,814.000000,168.725815
885.000000,814.000000,168.243164
885.000000,814.000000,167.860596
885.000000,814.000000,167.696152
885.000000,814.000000,168.145294
885.000000,814.000000,168.763916
885.000000,814.000000,169.222687
885.000000,814.000000,168.978790
885.000000,814.000000,168.427780
885.000000,814.000000,167.928268
885.000000,814.000000,167.667480
885.000000,814.000000,167.654633
885.000000,814.000000,167.791473
885.000000,814.000000,167.958267
885.000000,814.000000,168.072800
885.000000,814.000000,168.109055
885.000000,814.000000,168.084579
885.000000,814.000000,168.452881
885.000000,814.000000,168.895905
885.000000,814.000000,168.779404
885.000000,814.000000,168.803772
885.000000,814.000000,168.482071
885.000000,814.000000,168.093353
885.000000,814.000000,167.828064
885.000000,814.000000,167.745483
885.000000,814.000000,167.803772
885.000000,814.000000,168.337601
885.000000,814.000000,168.925156
885.000000,814.000000,168.880554
885.000000,814.000000,168.486618
885.000000,814.000000,168.053955
885.000000,814.000000,167.779541
885.000000,814.000000,167.711929
885.000000,814.000000,167.792953
885.000000,814.000000,167.926651
886.000000,813.000000,167.617233
887.000000,811.000000,165.507614
887.000000,811.000000,163.231689
889.000000,809.000000,159.302673
888.000000,810.000000,156.053299
887.000000,812.000000,148.706955
887.000000,812.000000,142.045700
886.000000,813.000000,133.970108
883.000000,814.000000,124.684929
881.000000,815.000000,113.979027
881.000000,815.000000,106.920006
878.000000,816.000000,99.501183
875.000000,817.000000,88.704819
872.000000,818.000000,74.603584
868.000000,818.000000,58.202969
868.000000,818.000000,47.317528
865.000000,817.000000,40.430431
861.000000,814.000000,35.405735
857.000000,812.000000,28.550241
857.000000,812.000000,23.493874
855.000000,808.000000,17.836786
853.000000,804.000000,12.104604
852.000000,798.000000,7.470462
852.000000,798.000000,5.412066
851.000000,790.000000,4.877438
850.000000,782.000000,5.035334
850.000000,782.000000,5.530372
850.000000,774.000000,5.596900
850.000000,765.000000,4.968297
849.000000,755.000000,4.197739
849.000000,745.000000,3.248666
849.000000,745.000000,2.592286
849.000000,734.000000,2.380582
849.000000,723.000000,1.262523
850.000000,711.000000,0.919876
850.000000,711.000000,1.171792
851.000000,700.000000,1.664535
852.000000,689.000000,2.091553
852.000000,682.000000,3.555537
853.000000,676.000000,4.175582
855.000000,665.000000,3.209469
856.000000,653.000000,2.141660
856.000000,653.000000,1.460880
856.000000,641.000000,1.707776
857.000000,630.000000,2.391505
857.000000,617.000000,2.208013
857.000000,605.000000,2.432164
857.000000,605.000000,2.799938
856.000000,593.000000,3.097627
856.000000,580.000000,3.230117
857.000000,567.000000,3.211077
857.000000,567.000000,3.111786
856.000000,554.000000,1.753601
857.000000,542.000000,1.483848
859.000000,528.000000,1.960408
859.000000,528.000000,2.672254
860.000000,516.000000,3.223588
860.000000,504.000000,3.868980
860.000000,504.000000,4.299421
860.000000,492.000000,4.006968
860.000000,479.000000,2.162254
859.000000,465.000000,0.184842
859.000000,465.000000,-1.043471
859.000000,465.000000,-1.322426
858.000000,439.000000,-0.932179
858.000000,425.000000,1.356100
858.000000,411.000000,2.957208
859.000000,399.000000,2.653438
859.000000,399.000000,1.367763
858.000000,392.000000,0.047784
859.000000,389.000000,-0.513116
859.000000,389.000000,-1.823236
863.000000,386.000000,-6.420755
867.000000,384.000000,-14.353764
867.000000,384.000000,-20.913260
871.000000,381.000000,-27.275196
875.000000,378.000000,-35.878227
878.000000,377.000000,-48.041161
878.000000,377.000000,-57.193569
881.000000,377.000000,-66.201401
884.000000,377.000000,-76.375465
886.000000,376.000000,-67.932693
886.000000,376.000000,-52.181042
891.000000,377.000000,-57.980274
900.000000,378.000000,-74.736816
900.000000,378.000000,-90.869293
908.000000,380.000000,-99.896889
917.000000,381.000000,-101.434006
926.000000,382.000000,-97.968498
926.000000,382.000000,-93.039124
935.000000,383.000000,-89.317558
945.000000,385.000000,-84.511154
956.000000,387.000000,-85.260712
966.000000,388.000000,-89.349106
966.000000,388.000000,-93.672562
978.000000,389.000000,-96.744011
990.000000,391.000000,-94.459999
1001.000000,393.000000,-93.774002
1001.000000,393.000000,-94.304909
1014.000000,395.000000,-95.322311
1026.000000,399.000000,-95.779861
1026.000000,399.000000,-95.720306
1038.000000,401.000000,-94.966743
1050.000000,403.000000,-94.124092
1062.000000,405.000000,-92.745941
1062.000000,405.000000,-91.631981
1074.000000,407.000000,-91.137329
1074.000000,407.000000,-91.209892
1086.000000,409.000000,-91.164413
1099.000000,410.000000,-91.069237
1111.000000,411.000000,-91.402794
1125.000000,412.000000,-91.010742
