posx,posy,ang
941,643,-147.29
942,646,-143.77
942,646,-153.51
941,649,-166.50
941,651,176.35
941,651,180.27
941,653,179.10
940,656,173.77
940,658,166.17
939,660,159.17
939,660,155.44
939,662,150.99
937,664,144.23
937,664,138.94
935,666,132.55
933,667,124.00
933,667,117.77
931,669,110.48
928,670,101.86
928,670,96.06
926,670,89.74
924,670,81.99
922,670,71.63
920,670,60.32
920,670,53.19
917,669,51.46
917,669,52.77
915,668,48.62
913,667,41.76
911,665,35.36
911,665,31.90
908,664,25.33
906,662,20.12
904,660,14.94
902,657,9.86
902,657,6.96
901,654,4.87
900,651,2.46
900,651,0.86
899,648,-0.43
899,645,1.00
899,642,0.91
900,640,-0.77
900,640,-2.68
901,638,-5.18
902,636,-8.65
904,634,-12.90
905,633,-15.42
905,632,-20.05
907,631,-27.32
909,629,-36.02
909,629,-41.91
912,628,-48.72
917,626,-55.31
917,626,-59.01
922,624,-61.17
927,623,-60.68
934,621,-62.62
941,620,-65.58
949,619,-67.90
958,618,-68.03
968,616,-63.92
978,614,-54.87
978,614,-46.74
987,611,-37.51
995,605,-25.66
995,605,-17.23
1000,601,-11.81
1004,596,-7.48
1007,590,-3.09
1009,584,0.76
1009,584,2.68
1010,578,-2.68
1011,572,-1.14
1010,565,2.74
1010,565,6.36
1008,559,10.83
1006,553,16.42
1004,548,21.59
1004,548,24.36
1000,542,29.58
995,535,35.72
995,535,39.83
989,529,43.13
981,523,46.25
974,518,49.22
974,518,50.85
966,513,51.87
957,507,52.93
948,502,54.41
940,497,55.52
930,491,56.37
930,491,56.71
920,487,56.61
910,482,55.88
910,482,55.09
899,477,55.01
888,471,55.38
888,471,55.85
877,465,56.19
867,460,56.73
855,454,57.15
855,454,57.34
845,449,56.89
835,443,57.09
823,438,58.42
823,438,59.86
813,432,60.34
801,427,60.06
801,427,59.45
790,423,58.91
777,419,59.05
766,414,59.53
766,414,60.00
754,408,61.12
754,408,62.13
741,403,62.67
729,399,62.70
717,394,63.68
717,394,64.80
705,389,65.12
693,385,65.25
682,381,66.06
682,381,66.92
669,378,67.88
657,375,68.48
657,375,68.63
645,372,69.29
631,367,69.97
631,367,70.38
618,364,70.46
604,360,73.66
604,360,77.33
589,356,77.24
581,353,72.49
576,352,64.51
576,352,57.98
572,348,50.42
568,344,36.24
568,344,24.12
566,342,21.61
566,340,21.99
566,339,25.14
566,339,26.08
565,338,21.16
564,337,15.31
564,337,11.35
564,337,11.41
565,337,15.03
565,337,15.46
565,337,13.84
565,338,14.64
565,337,13.58
565,337,12.31
565,337,11.44
565,337,11.16
565,337,12.61
565,337,17.38
565,337,22.08
565,337,24.79
565,338,22.69
